Name,ID,Publisher Name,Publisher ID,Date,Platform,Category,Downloads (Absolute),Downloads (PoP Growth),Downloads (PoP Growth %),Revenue (Absolute),Revenue (PoP Growth),Revenue (PoP Growth %),DAU (Absolute),DAU (PoP Growth),DAU (PoP Growth %),Downloads First 30 Days (WW),Most Popular Country by Downloads,"RPD (All Time, WW)",Game Art Style,Game Theme,Game Genre,Game Setting
Idol Livestream: Doll Dress Up,67ca59a81991c9f0ccf2f602,Bravestars,594825d017ddb671190015b5,2023/12/3,Unified,Games,4464799,4464799,,1002.66,1002.66,,36952,36952,,1013321,Indonesia,$0.00 ,2D Anime,Fashion / Aesthetics / Hair,Lifestyle,Modern
Goodville: Farm Game Adventure,5e7d57eb6f86e65284e8b783,Goodville,67f98e9f1967f4030b12f314,2023/12/3,Unified,Games,4455003,535842,0.136724,37067675.7,23371048.47,1.706336,55071,21653,0.647944,12149,US,$5.86 ,3D Cartoon,Farming,Simulation,Modern
3 Tiles: Connect Tile Matching,5f6c9a16eafbc640e2908b83,AppsYouLove,6467d12a29dce76723caf8ae,2023/12/3,Unified,Games,4410532,-10318032,-0.700546,3203833.41,-331991.19,-0.093894,122195,-121408,-0.498385,1204685,US,$0.32 ,2D Cartoon,Tabletop,Puzzle,N/A
Makeup Kids Games for Girls,55c57e4b02ac64f9c0003985,Pazu Games,5614c1493f07e25d29005610,2023/12/3,Unified,Games,4219642,1086529,0.346789,309454.26,104076.79,0.506759,36541,9179,0.335465,0,India,$0.09 ,2D Cartoon,Fashion / Aesthetics / Hair,Lifestyle,N/A
Beauty Salon Games for Girls,6509af00dec7ab4322791086,Brainytrainee,615f4b5508f7326ff4c43513,2023/12/3,Unified,Games,4147993,4092209,73.358113,1528228.39,1516645.66,130.940258,83422,83047,221.458667,23934,Egypt,$0.36 ,2D Cartoon,Fashion / Aesthetics / Hair,Lifestyle,N/A
Serenity's Spa: Beauty Salon,6463aa0a11c54274cf993409,Tripledot Studios,5a63fb6f68c90d39d2db5430,2023/12/3,Unified,Games,4035822,4033005,1431.666667,2491502.8,2486955.06,546.855154,84998,84938,1415.633333,14177,India,$0.62 ,2D Cartoon,Fashion / Aesthetics / Hair,Simulation,Modern
Mii World: Avatar Life Story,641592b1beb795679c7e5d31,Playwind,6107490c4c444160f9cb5e62,2023/12/3,Unified,Games,3611198,1956005,1.181738,6553.57,5425.72,4.810675,162100,146248,9.225839,92294,Brazil,$0.00 ,2D Cartoon,Fashion / Aesthetics / Hair,Lifestyle,Cartoon Fantasy
Road Trip: Royal merge games,64b18914115e7f58f200f225,Vizor Apps,570de1ee02ac645349000015,2023/12/3,Unified,Games,3609638,3522424,40.388286,17639417.94,17513317.14,138.883474,238956,237910,227.447419,341307,US,$4.80 ,2D Cartoon,Adventure,Puzzle,Modern
Match Factory!,64ee5f07ca97153451fffc21,Take-Two Interactive,5614b32f3f07e2077c000488,2023/12/3,Unified,Games,41902661,41087112,50.379698,392025844.9,390669600,288.052403,911266,907877,267.889348,1206598,US,$9.20 ,2D Cartoon,Arcade,Puzzle,N/A
Klondike Adventures: Farm Game,597969d42622e430fb0004dc,Vizor Apps,570de1ee02ac645349000015,2023/12/3,Unified,Games,40466952,12598024,0.452046,171516323.4,24149355.57,0.163872,838921,1713,0.002046,1541145,India,$5.49 ,2D Cartoon,Farming,Simulation,Modern
Color Match,611095cac1428c11c6fb7083,ironSource,55f8912b8ac350426b02ddcf,2023/12/3,Unified,Games,32102117,-47991618,-0.599193,74767.41,-228137.76,-0.753166,279954,-294858,-0.512964,5177087,India,$0.00 ,Hypercasual,Art,Puzzle,N/A
Hidden Objects - The Journey,640b68eac22a811d1172e4e1,SayGames,5bb5a48345f4430ad72c6f04,2023/12/3,Unified,Games,27944980,27601736,80.414329,862300.12,777758.67,9.199732,452191,449884,195.008236,117927,India,$0.04 ,2D Cartoon,Hypercasual,Puzzle,Modern
BFF Makeover - Spa & Dress Up,643357df87e8ea3083a0a6ce,Games for Girls,562949893f07e236f9018837,2023/12/3,Unified,Games,21240191,19009624,8.522328,3595.93,3173.9,7.520555,258102,244022,17.331108,83785,India,$0.00 ,2D Realistic,Fashion / Aesthetics / Hair,Lifestyle,Modern
Toca Boca Hair Salon 4,5e4b143dab3bcb7c8fa09fb1,Piknik,64f90e1670d3f24c7fdad0c7,2023/12/3,Unified,Games,18425212,-14382017,-0.43838,4390977.74,1461945.8,0.499123,188056,-216570,-0.535235,2430390,Brazil,$0.12 ,2D Cartoon,Fashion / Aesthetics / Hair,Lifestyle,Modern
Cooking Mama: Let's cook!,55593186f6dafa8693146256,Office Create Corp.,5628901302ac648b280001ea,2023/12/3,Unified,Games,16090587,-4971603,-0.236044,449323.3,-137364.12,-0.234135,155701,-16644,-0.096574,2595733,Indonesia,$0.03 ,3D Cartoon,Cooking / Food,Simulation,Modern
Princess Hair & Makeup Salon,559f01a43662c9791e003b33,Bubadu,560c49668ac350643900cc01,2023/12/3,Unified,Games,14854610,12004709,4.212325,459.76,368.89,4.059536,92216,73863,4.024574,8495,India,$0.00 ,3D Cartoon,Fashion / Aesthetics / Hair,Lifestyle,Modern
GossipMaster,64a7966b2707ba3501636c89,ironSource,55f8912b8ac350426b02ddcf,2023/12/3,Unified,Games,12719155,12681282,334.837008,36442.42,36442.42,,221412,221127,775.884211,1469,US,$0.00 ,2D Cartoon,Drama,Lifestyle,Modern
Color Oasis - Color by Number,660b951260f40a75871a2626,Tap Color Studio,63dab6c94d59be60222eb7e0,2023/12/3,Unified,Games,11370659,11370659,,488457.21,488457.21,,259719,259719,,446857,US,$0.04 ,2D Cartoon,Art,Tabletop,N/A
Hello Kitty Lunchbox,56cbc7f2644f25231600081d,Tilting Point,5a7b6504b39ede16a53fc25b,2023/12/3,Unified,Games,11305231,-2644719,-0.189586,969462.09,572040.89,1.439382,55840,-13691,-0.196905,1648150,Brazil,$0.04 ,2D Cartoon,Cooking / Food,Simulation,Cartoon Fantasy
Satisfying Skincare ASMR Game,6798258040490b3812387a43,Azel Games,62133cdf6fc298387e3d04dc,2023/12/3,Unified,Games,10836927,10836927,,4000.67,4000.67,,46984,46984,,831523,India,$0.00 ,2D Cartoon,Fashion / Aesthetics / Hair,Simulation,Modern
Dopples World,66c8123aeb454c112d9fca52,APIX Educational Systems,5604907d8ac3501722009509,2023/12/3,Unified,Games,10231208,10231208,,105402.26,105402.26,,88063,88063,,754600,Brazil,$0.01 ,2D Cartoon,Decoration,Lifestyle,Cartoon Fantasy
Rampwalk Fashion Game,65c57eda484a5a266026f03f,Fried Chicken Games,6082b2a8ad211e1bc2816a84,2023/12/3,Unified,Games,9418186,9418186,,172.81,172.81,,45394,45394,,1112303,Iraq,$0.00 ,Hypercasual,Fashion / Aesthetics / Hair,Lifestyle,N/A
Unsolved: Hidden Mystery Games,5dec801ddbe27a56800b0498,Artifex Mundi,5fa08f43ec1eca6dcb7c029f,2023/12/3,Unified,Games,8861323,3792479,0.748194,37022567.62,22271641.66,1.509847,362883,170496,0.886214,4031,US,$3.68 ,2D Realistic,Adventure,Puzzle,Modern
MeChat - Interactive Stories,5fd93a036b98b22c4bebb8c4,PlayMe Studio,562954173f07e28dd100a1fd,2023/12/3,Unified,Games,8509215,-5296327,-0.383638,25763690.84,-1761282.23,-0.063989,101113,-61302,-0.377441,37599,US,$2.40 ,2D Cartoon,Drama,Lifestyle,Modern
Vlinder Gacha Dressup for Kids,6017aeaa75681b66d6fff2c0,31 Dress Up Games,5f4023fc00fe7e113bc75de6,2023/12/3,Unified,Games,7640429,6296974,4.687149,0,0,,26310,5990,0.294783,92621,Thailand,$0.00 ,2D Anime,Fashion / Aesthetics / Hair,Lifestyle,N/A
Style Star: Left Right Fashion,66ea594dbadc16b2084a387f,Bravestars,594825d017ddb671190015b5,2023/12/3,Unified,Games,7623377,7623377,,892.09,892.09,,119052,119052,,785813,Russia,$0.00 ,2D Cartoon,Fashion / Aesthetics / Hair,Lifestyle,Modern
Color Up - Color By Number,653f21ed64c5fd2ed0c7c623,Nuclear Game,67a66b5d9467155f6f1d1303,2023/12/3,Unified,Games,7244101,7197236,153.573797,298796.2,298516.77,1068.306087,266547,266357,1401.878947,60319,US,$0.04 ,2D Cartoon,Tabletop,Tabletop,N/A
Left or Right: Star Girl Style,6658891bad4adb5ea422be77,JUMBO GAMES Studio,657ca6622c4f3d6c070b9cbe,2023/12/3,Unified,Games,7092809,7092809,,0,0,,77431,77431,,204660,US,$0.00 ,2D Anime,Fashion / Aesthetics / Hair,Lifestyle,Modern
Adventure Island Merge,636c4e26080e980fa381a2b9,FlyBird Casual Games,5b80c33bb1c72b11eae31bbc,2023/12/3,Unified,Games,7034275,-24479,-0.003468,25010197.21,22729455.95,9.96582,280019,220758,3.725182,139517,Brazil,$1.94 ,2D Cartoon,Decoration,Puzzle,Modern
My Child Lebensborn LITE,5aff1c1ddd120e68c608ec8f,Sarepta Studio,55f88b3a8ac350426b00ed2c,2023/12/3,Unified,Games,6810644,-3088089,-0.311968,635037.78,-511861.15,-0.4463,40519,-19927,-0.329666,12311,Russia,$0.22 ,2D Cartoon,Family / Baby,Lifestyle,Historical
Tut world:Home Town builder,67246222e1c7693dfdfaba39,HD.kids (Hainan Hengdou Network Technology),664e5aa353a865608f9ddebf,2023/12/3,Unified,Games,6770966,6770966,,58224.71,58224.71,,84703,84703,,458656,Brazil,$0.01 ,2D Anime,Decoration,Lifestyle,N/A
Angela World: Avatar Life,676cd6596082119fab1cf966,Kitten Doll,6669fab2574c02a549c1e354,2023/12/3,Unified,Games,6552958,6552958,,2527.24,2527.24,,22066,22066,,8457,Indonesia,$0.00 ,2D Cartoon,Fashion / Aesthetics / Hair,Lifestyle,Modern
Find Sort Match: Puzzle game,63e45ef33915fc18cce39b00,Work Point,5d28d23ee40cbf7f37993fe7,2023/12/3,Unified,Games,6550535,3910612,1.481336,274736.01,179765.43,1.892854,92222,77351,5.201466,3913,Indonesia,$0.04 ,2D Cartoon,Hypercasual,Puzzle,N/A
Coin Sort,640b2412043c5025c25f2298,Tripledot Studios,5a63fb6f68c90d39d2db5430,2023/12/3,Unified,Games,5928705,4004314,2.080821,9524314.81,9413260.79,84.7629,117527,95230,4.270978,248,US,$1.23 ,Hypercasual,Money / Treasure,Puzzle,N/A
Lovely cat dream party,6306caa6d6c68d0ed4d9c098,Kitten Doll,6669fab2574c02a549c1e354,2023/12/3,Unified,Games,5570461,-2459253,-0.306269,26816.57,-2580.71,-0.087787,172695,63473,0.581137,38982,Indonesia,$0.00 ,2D Cartoon,Animal - Cat,Lifestyle,Cartoon Fantasy
Merge Gardens,5e6d06f5c5784a16d2b9bad2,Modern Times Group,560c791e8ac350643902d70a,2023/12/3,Unified,Games,5191015,-307187,-0.05587,63689675.81,30420295.11,0.914363,257533,106248,0.702304,712586,US,$7.46 ,2D Cartoon,Decoration,Puzzle,Cartoon Fantasy
Tut world：Dream City Story,66a109c0a3f5c19e3d45a4e0,HD.kids (Hainan Hengdou Network Technology),664e5aa353a865608f9ddebf,2023/12/3,Unified,Games,5138916,5138916,,6541.88,6541.88,,76651,76651,,412427,Indonesia,$0.00 ,2D Cartoon,Decoration,Lifestyle,Cartoon Fantasy
My Tizi Town Daycare Baby Game,5fb48a1e339f4c1e17148551,IDZ Digital,5614b77d3f07e25d29001322,2023/12/3,Unified,Games,5083563,-3672973,-0.419455,7957.57,-81858.22,-0.911401,55789,-48431,-0.4647,216662,Brazil,$0.01 ,2D Cartoon,Family / Baby,Lifestyle,Modern
Supermarket Cashier Simulator,5a0e7fe299f5221e1a702bcb,Lucky Hamster Games,60243685fa71c5254e278f2e,2023/12/3,Unified,Games,4816144,-1798348,-0.27188,58481.28,4065.77,0.074717,45219,-11003,-0.195706,305,Indonesia,$0.01 ,2D Cartoon,Business,Simulation,Modern
Hospital Story: Perfect Care,67258b469f20d56679015a95,Higame Global,64e3c2aa1949fa14f07b557f,2023/12/3,Unified,Games,4180727,4180727,,2333.19,2333.19,,66814,66814,,822727,Indonesia,$0.00 ,3D Cartoon,Medical / Emergency Services,Lifestyle,Modern
Yasa Pets Vacation,5e6404951d8af3690cdc3f30,Yasa Pets,65ef5dc23811e913df4566bb,2023/12/3,Unified,Games,4136064,-8552500,-0.674032,1268.66,1219.97,25.055864,48174,-22355,-0.316962,482835,Brazil,$0.00 ,2D Cartoon,Animal - Cat,Lifestyle,Cartoon Fantasy
Cocobi World 4 - Kids Game,673fbf0ae6ad5f1671904082,Kigle,567cc93c47a5006eed0039bf,2023/12/3,Unified,Games,4064711,4064711,,21781.43,21781.43,,84145,84145,,210199,Indonesia,$0.00 ,2D Cartoon,Fashion / Aesthetics / Hair,Lifestyle,Cartoon Fantasy
Magic Paper Dolls Dress Up DIY,6480b8064cd6ce405f70d586,Joy Games,6585466780716871e29f0999,2023/12/3,Unified,Games,3955122,-4715242,-0.543834,540.73,97.97,0.221271,214287,167126,3.543733,2617939,Brazil,$0.00 ,2D Cartoon,Fashion / Aesthetics / Hair,Lifestyle,Modern
Daily Shopping Stories,5998e7d925d8a73466d24523,SUBARA,61f2ebbee19921331fedae2f,2023/12/3,Unified,Games,3917687,-5020408,-0.561687,9154.89,-71609.8,-0.886647,29716,-27155,-0.477484,598385,Brazil,$0.02 ,3D Cartoon,Shopping,Lifestyle,Modern
Ayla World : Princess life,6781ece9a12e6e3e53e492cb,Kitten Doll,6669fab2574c02a549c1e354,2023/12/3,Unified,Games,3905968,3905968,,0,0,,11601,11601,,174817,Indonesia,$0.00 ,2D Cartoon,Fashion / Aesthetics / Hair,Lifestyle,High Fantasy
Fashion Beauty: Makeup Stylist,65b996a4e7f7c145cbfd8a74,Bravestars,594825d017ddb671190015b5,2023/12/3,Unified,Games,3801760,3801760,,1444.37,1444.37,,72315,72315,,103347,India,$0.00 ,2D Cartoon,Fashion / Aesthetics / Hair,Lifestyle,Modern
Girls Hair Salon,55a323d37a5eb148c9005304,Pazu Games,5614c1493f07e25d29005610,2023/12/3,Unified,Games,3781362,-80207,-0.020771,1702862.71,484728.48,0.397927,16137,0,0,36896,US,$0.18 ,2D Cartoon,Fashion / Aesthetics / Hair,Lifestyle,Modern
Cafeland - Restaurant Cooking,5773852b9b1f366029000cad,Gamegos,55f8940c8ac350426b03b6b0,2023/12/3,Unified,Games,3759311,-1507910,-0.286282,6439624.77,642229.4,0.110779,112594,-52706,-0.318851,610620,Brazil,$0.68 ,2D Cartoon,Business,Simulation,Modern
Nonogram - Jigsaw Puzzle Game,5e9f9a4e9834891f8ade801c,draw in fun,5b7ddfe64c3f3d0da9a6e6bf,2023/12/3,Unified,Games,3728928,1252809,0.505957,9124664.07,4523920.78,0.983302,150398,59403,0.652816,166379,US,$1.88 ,Flat,Art,Puzzle,N/A
My City : Hotel,6006a818c681936a17f414e6,My Town Games,55f896128ac350426b04545d,2023/12/3,Unified,Games,3704500,-6166499,-0.624709,3115.87,-59269.8,-0.950055,102317,50830,0.987239,9442,India,$0.01 ,2D Cartoon,Family / Baby,Lifestyle,Modern
Paper Doll House: DIY Dress Up,657a5376c4170051ebdab872,Dress Up Games,5fac3c760cd64659d334ba2e,2023/12/3,Unified,Games,3659647,3659647,,4685.37,4685.37,,32271,32271,,1838043,India,$0.00 ,2D Cartoon,Fashion / Aesthetics / Hair,Lifestyle,N/A
Doll Diary: Kpop Dolly DIY,67d2265f59f02246eb1960a9,NEXCOSMO,687facc80e7a534d127af882,2023/12/3,Unified,Games,3639501,3639501,,122.61,122.61,,13264,13264,,18444,India,$0.00 ,2D Cartoon,Fashion / Aesthetics / Hair,Lifestyle,Modern
Indian Fashion DressUp Stylist,66c6c06e1740dea1b0a0d8c4,playNfun (Hiren Patel),5628a27902ac6486a704ac74,2023/12/3,Unified,Games,3574569,3574569,,0,0,,32937,32937,,31286,India,$0.00 ,2D Cartoon,Fashion / Aesthetics / Hair,Lifestyle,Modern
Fashionista - Fashion Stylist,617cfb07b3ae277f9fc90ad4,Frenzoo,5614c9433f07e25d2900d273,2023/12/3,Unified,Games,3335933,-685295,-0.170419,23708.47,-20908.74,-0.468625,72573,44337,1.570229,3250,India,$0.01 ,3D Realistic,Otome,Lifestyle,N/A
Paint by Number: Coloring Game,5b6e78f9a024e54bf748dd13,Oakever Games,65dcc4c25d0a0d46ffa216a3,2023/12/3,Unified,Games,73429005,12427487,0.203724,2745026.89,-464524.58,-0.144732,1609528,-388252,-0.194342,44910,India,$0.04 ,Flat,Art,Tabletop,N/A
Cooking Madness: A Chef's Game,59d0531a1d733b0cdf396825,Tripledot Studios,5a63fb6f68c90d39d2db5430,2023/12/3,Unified,Games,55056935,-23572471,-0.299792,31674650.6,-30541068.04,-0.49089,1331031,-518264,-0.28025,293915,India,$0.59 ,2D Cartoon,Cooking / Food,Simulation,Modern
Kpop Piano Beats - Music Game,64f9defc5be6d409cf94c2bb,Sonata Studio,69124951c0b33bb26825b3a7,2023/12/3,Unified,Games,35725453,34783858,36.941422,7088.13,7088.13,,310948,307018,78.121628,32539,Brazil,$0.00 ,Neon,Music,Arcade,N/A
Cooking City: Restaurant Games,5be980b13b73354f49b5a2ff,Magic Seven,5628a3ee02ac6486a705fea3,2023/12/3,Unified,Games,26921912,-2767354,-0.093211,5412827.44,-3053740.12,-0.360682,315865,-68613,-0.178458,2184738,India,$0.29 ,2D Cartoon,Cooking / Food,Simulation,Modern
Mia World - Makeover Life,663c259a093af07f37197688,31 Dress Up Games,5f4023fc00fe7e113bc75de6,2023/12/3,Unified,Games,24831390,24831390,,50762.08,50762.08,,248874,248874,,181622,Indonesia,$0.00 ,2D Cartoon,Fashion / Aesthetics / Hair,Lifestyle,N/A
Family Island  Farming game,5d2fbde03d3ea51dfcb37ca0,Moon Active,560c7e608ac350643902fee7,2023/12/3,Unified,Games,18379033,-24024437,-0.566568,255284715.3,-62898852.05,-0.197681,669392,-481989,-0.418618,1907652,US,$7.07 ,2D Cartoon,Farming,Simulation,Modern
Tizi Modern Home Design Games,663086bd24bbd34fe64e0f0a,IDZ Digital,5614b77d3f07e25d29001322,2023/12/3,Unified,Games,17956831,17956831,,903.37,903.37,,224654,224654,,36867,Indonesia,$0.00 ,2D Cartoon,Adventure,Lifestyle,Modern
My Cooking: Restaurant Game,5de9b57007609b3792d4c974,Gameone,562947393f07e236f90008e5,2023/12/3,Unified,Games,17874252,-8369559,-0.318916,1109309.01,95363.55,0.094052,219563,-67685,-0.235633,69027,India,$0.05 ,2D Cartoon,Cooking / Food,Simulation,Modern
Lunch Box Ready,622aa004ca3d411616192668,Embracer Group,560494718ac35017220101d4,2023/12/3,Unified,Games,14354743,-19295330,-0.573411,0,0,,179816,-86391,-0.324526,23367,Brazil,$0.00 ,Hypercasual,Cooking / Food,Simulation,N/A
Block Jam - 3D Block Puzzle,628b1cb7ffa0451cd76317e1,Voodoo,59bad4eb63f2dc0d0b9689e1,2023/12/3,Unified,Games,13602762,9616614,2.412508,29219054.16,19827745.12,2.111287,369354,323714,7.09277,25296,US,$2.19 ,Hypercasual,Hypercasual,Puzzle,N/A
Tizi Town - Pink Home Decor,660615bb4070f2536f9b8b57,IDZ Digital,5614b77d3f07e25d29001322,2023/12/3,Unified,Games,11947438,11947438,,617.16,617.16,,231166,231166,,1032,Indonesia,$0.00 ,2D Cartoon,Decoration,Lifestyle,N/A
Blossom Sort - Flower Games,63e59c52f461f21941505fb8,Smart Imagine,63e22896478582111c007f72,2023/12/3,Unified,Games,10890971,10833644,188.979783,23731417,23730135.99,18524.55171,214984,214553,497.802784,542,India,$2.17 ,Hypercasual,Decoration,Puzzle,N/A
Mermaid Games: Princess Salon,656d8ee3784b7034faa59f51,My Little Princess Games,64fb6895594b7b4362c56625,2023/12/3,Unified,Games,10701402,10701402,,143897.44,143897.44,,167954,167954,,21393,Indonesia,$0.01 ,2D Cartoon,Family / Baby,Lifestyle,Cartoon Fantasy
Triple Match 3D,62136559e2630f229597e676,Miniclip,65670b56ad4adb650837a435,2023/12/3,Unified,Games,10499950,-1404943,-0.118014,181646609.2,25908764.57,0.166361,431618,185376,0.75282,74537,US,$15.06 ,3D Cartoon,Hypercasual,Puzzle,Modern
Fantasy Room,67ea5d0143283a8e9cc28c54,XGame Global,6744248f43283abac3ff088e,2023/12/3,Unified,Games,10044278,10044278,,71284.48,71284.48,,52282,52282,,1078832,Indonesia,$0.01 ,2D Cartoon,Decoration,Puzzle,Modern
Baby Panda's Town: Princess,65144654b7d7f37418bb5f05,BabyBus,5614c2823f07e25d29006806,2023/12/3,Unified,Games,8858782,6901526,3.526123,15287.01,14100.14,11.880105,146557,140499,23.192308,274819,Indonesia,$0.00 ,2D Cartoon,Family / Baby,Lifestyle,Cartoon Fantasy
Jigsaw Puzzles: HD Puzzle Game,62089ba9ef65737def9f13fd,Playflux,64221856f2c9e344c7723c37,2023/12/3,Unified,Games,8456332,-22908782,-0.730391,0,0,,259460,-78966,-0.233333,29424,India,$0.00 ,2D Realistic,Tabletop,Puzzle,N/A
Baby Panda's Food Party,5d01b036e7c487290dd40eee,BabyBus,5614c2823f07e25d29006806,2023/12/3,Unified,Games,7796386,2336380,0.427908,1893.91,478.43,0.337998,29882,6428,0.274068,295320,Indonesia,$0.00 ,2D Cartoon,Cooking / Food,Lifestyle,Cartoon Fantasy
My City : Jail House,5ee4365265c0394f29c4ba69,My Town Games,55f896128ac350426b04545d,2023/12/3,Unified,Games,7446581,-1764167,-0.191534,4592.92,-53631.7,-0.921117,181071,119598,1.945537,9311,India,$0.02 ,2D Cartoon,Crime,Lifestyle,Modern
Bingo Frenzy - Live Bingo Games,5c143d3cb094be69d2175c59,Vertex Games,65dfbf52152a895dd4bac6e1,2023/12/3,Unified,Games,7013207,2047452,0.412314,88119249.99,52427601.99,1.468904,108865,33513,0.444753,10115,US,$9.04 ,2D Cartoon,Cooking / Food,Casino,N/A
White Horse Princess Dress Up,5570f079165b2902050001cf,Bweb,55f896188ac350426b045626,2023/12/3,Unified,Games,6923980,1795761,0.350172,411.2,411.2,,189062,140766,2.914651,517,India,$0.00 ,2D Cartoon,Fashion / Aesthetics / Hair,Lifestyle,High Fantasy
Inside Out Thought Bubbles,55d7cc0af990a466ce010acc,Monumental,5eec21a7b7c50e58291831c0,2023/12/3,Unified,Games,6479779,5932133,10.832058,889088.98,188430.27,0.268933,71919,63750,7.803893,5755395,US,$0.40 ,2D Cartoon,Bubbles / Tiles / Colors,Strategy,Cartoon Fantasy
Crazy Chef: Cooking Race,5c445c2df74237471b78af79,Casual Joy,5b7b1a4824f9a71e50f49fcc,2023/12/3,Unified,Games,6250567,-15420887,-0.711576,476952.33,-2111840.63,-0.815763,66492,-114022,-0.631652,25690,Indonesia,$0.17 ,2D Cartoon,Cooking / Food,Simulation,Modern
Hairstyle: pet care salon game,636de8740a025f42832b063e,Fidget Toys Dev,616c766b6d04a3530788b20c,2023/12/3,Unified,Games,6237705,6095102,42.741752,250.13,247.14,82.655518,90025,88297,51.097801,1542,India,$0.00 ,2D Cartoon,Animal - Dog / Pet,Lifestyle,Cartoon Fantasy
Paper Doll: Dress Up Diary,645da7998be1412873338d7d,Eliten,5f694fdeee0b2e4578c4a3b4,2023/12/3,Unified,Games,5318251,2534480,0.910448,4.56,-12.86,-0.738232,143201,122349,5.867495,701,India,$0.00 ,2D Cartoon,Fashion / Aesthetics / Hair,Lifestyle,N/A
Style My Day: Makeup Tales,682698c1a40b7434b3c282b6,Club Team Caliente Mx Sports e Casino,5976bc82efc05e2e06000c7b,2023/12/3,Unified,Games,5021434,5021434,,125.11,125.11,,13208,13208,,0,Brazil,$0.00 ,3D Realistic,Fashion / Aesthetics / Hair,Lifestyle,Modern
Cocobi Little Police - Kids,6312a9904996731ebb757375,Kigle,567cc93c47a5006eed0039bf,2023/12/3,Unified,Games,4617749,1555391,0.507906,7744.77,584.05,0.081563,92737,61100,1.931283,20,Brazil,$0.00 ,2D Cartoon,Crime,Lifestyle,Cartoon Fantasy
Animal Crossing: Pocket Camp,59f0b8c00211a6c1fbe7230b,Nintendo,56ea4b8e02ac64817500002c,2023/12/3,Unified,Games,4482133,-4393855,-0.495027,22348329.86,-21475868.48,-0.490046,549973,-1058256,-0.658026,19437048,US,$3.25 ,3D Cartoon,Animal - Zoo / Other,Simulation,Cartoon Fantasy
L.O.L. Surprise! Pet Center,6618bbc3cff19a643a72e443,Hippo Kids Games,562957fe3f07e28dd1036ef6,2023/12/3,Unified,Games,4337130,4337130,,29998.55,29998.55,,36976,36976,,143260,Russia,$0.00 ,2D Cartoon,Animal - Dog / Pet,Lifestyle,Cartoon Fantasy
Cute princess babyshower,6195ad5d60fc9c3d00f55870,Lion Roar,5c807f4713c8301eecafebdb,2023/12/3,Unified,Games,4192828,4017344,22.892936,241.92,241.92,,39697,36032,9.831378,2880,Brazil,$0.00 ,2D Cartoon,Decoration,Lifestyle,Modern
Like A Dino!,5f6d9018812e4f785f9da147,Super Toki,60371746d8564d0a01772538,2023/12/3,Unified,Games,4088354,-11885624,-0.744062,0,0,,133184,-336839,-0.716644,1127,Brazil,$0.00 ,2D Cartoon,Animal - Zoo / Other,Arcade,N/A
Draw Dress!,6356a6fdad4adb2bc94dfb1a,YSO Corp,55f893bf8ac350426b039d98,2023/12/3,Unified,Games,4079933,191505,0.04925,6821.82,5572.88,4.462088,147846,111313,3.046916,6153,Russia,$0.00 ,Hypercasual,Fashion / Aesthetics / Hair,Lifestyle,Modern
Little Panda: Fashion Model,5ef46f19ccf49b6fe76848e6,BabyBus,5614c2823f07e25d29006806,2023/12/3,Unified,Games,4076213,1985644,0.94981,622.23,446.31,2.537005,20695,9289,0.814396,240140,Indonesia,$0.00 ,2D Cartoon,Fashion / Aesthetics / Hair,Lifestyle,Cartoon Fantasy
Wedding Dress up Girls Games,5deef2d30a4c0b09a4dafcb7,Sweet Maker Shop,5b441117c6b4f40f6bc2024e,2023/12/3,Unified,Games,3849340,-246257,-0.060127,0,0,,18137,-10971,-0.376907,2107,India,$0.00 ,2D Cartoon,Fashion / Aesthetics / Hair,Lifestyle,Modern
Princess girl paper House game,6539d0e95b179008bde0e495,GoKids!,6349b1cf4e2a6a491d682b82,2023/12/3,Unified,Games,3672512,3671521,3704.864783,7802.69,7794.03,900.003464,62178,62178,,1231,India,$0.00 ,2D Cartoon,Decoration,Lifestyle,N/A
Monster High Fangtastic Life,672cf97e9ef0001f4c00f5ba,Tilting Point,5a7b6504b39ede16a53fc25b,2023/12/3,Unified,Games,3640215,3640215,,509959.2,509959.2,,98748,98748,,545093,Brazil,$0.14 ,3D Cartoon,Fashion / Aesthetics / Hair,Lifestyle,High Fantasy
Homescapes,597a55930211a69d0f000000,Playrix,5614b8de3f07e25d29001b9e,2023/12/3,Unified,Games,50067616,-50130923,-0.500316,719139626,-241962971.3,-0.251756,9137836,-9422604,-0.507671,27062248,India,$5.55 ,3D Cartoon,Decoration,Puzzle,Modern
Acrylic Nails!,5f468e7190cf0f0a59c52e83,Embracer Group,560494718ac35017220101d4,2023/12/3,Unified,Games,40749010,-10876509,-0.210681,0,-75908.2,-1,271390,-170962,-0.386484,18884825,India,$0.00 ,3D Cartoon,Fashion / Aesthetics / Hair,Lifestyle,Modern
Eye Color Mix,65127d5fad4adb355b946f9a,Embracer Group,560494718ac35017220101d4,2023/12/3,Unified,Games,31869797,31866205,8871.437918,7693.63,7693.63,,447591,447563,15984.39286,925850,Russia,$0.00 ,Hypercasual,Fashion / Aesthetics / Hair,Tabletop,N/A
Clean It: Cleaning Games,65283ff5ad4adb3558d46074,Homa,5aa808e60343f831cb01ec03,2023/12/3,Unified,Games,23548617,23546831,13184.1159,1692807.21,1692807.21,,262822,262817,52563.4,410529,India,$0.07 ,Hypercasual,Hypercasual,Simulation,N/A
